FT,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,volNQdiff,volYMdiff,vpm5,vpm10,vpm15,vpm30,vpm60
1729202400000,962,5711,3993,2393.1667,2662.75,-83.1553,-75.9078,-59.8022,-63.8719,-129.1291,-87.3471,-0.0005,-0.0002,-0.0001,-0.0001,-0
1729202700000,233,597.5,3885,2328.3333,2095.75,-61.0042,-94.0026,-89.9928,-88.8823,-50.0791,-94.58,0.0043,0.0004,-0.0001,0,-0.0001
1729203000000,200,216.5,465,2224.6667,1657.9167,-7.6212,-56.9892,-91.0099,-87.9367,-31.6212,-82.386,0.0025,0.0035,0.0007,0.0001,0
1729203300000,294,247,242.3333,2117.6667,1518.8333,19.0283,21.3205,-86.1168,-80.643,-47.7581,-66.2695,0.0043,0.0035,0.0038,0.0001,-0.0001
1729203600000,334,314,276,2080.5,1465.9167,6.3694,21.0145,-83.9462,-77.2156,-86.7647,-57.5521,0.0007,0.0024,0.0024,0.0001,-0
1729203900000,423,378.5,350.3333,407.6667,1398.3333,11.7569,20.7422,3.7612,-69.7497,37.1371,26.897,0.0024,0.0017,0.0024,0.0014,0.0002
1729204200000,782,602.5,513,377.6667,1385.4167,29.7925,52.4366,107.0609,-43.5549,-26.3556,53.5453,0.0016,0.0019,0.0016,0.0023,0.0002
1729204500000,233,507.5,479.3333,377.6667,1353,-54.0887,-51.3908,-38.3054,-82.779,10.5471,22.6812,0.0032,0.002,0.0021,0.0022,0.0003
1729204800000,155,194,390,370.1667,1297.4167,-20.1031,-60.2564,-58.127,-88.0532,2.6469,9.0605,-0.0016,0.0013,0.0015,0.0019,0.0003
1729205100000,190,172.5,192.6667,352.8333,1235.25,10.1449,-1.3841,-46.1502,-84.6185,1.9267,16.2378,0.0013,0,0.0013,0.0015,0.0003
1729205400000,241,215.5,195.3333,337.3333,1208.9167,11.8329,23.3788,-28.5573,-80.0648,-12.3512,-1.1063,-0.001,0,-0.0004,0.0014,0.0003
1729205700000,421,331,284,337,372.3333,27.1903,48.2394,24.9258,13.0707,46.5676,56.0369,-0.0018,-0.0015,-0.0009,0.0005,0.001
1729206000000,157,289,273,232.8333,305.25,-45.6747,-42.4908,-32.5698,-48.5667,-31.2862,-69.2365,-0.0032,-0.0022,-0.0018,-0.0005,0.0012
